Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id
77799740,2186,96886,SanBernardo,RinconadadeNos,2,1.0,78.0,70.0,2.0,10633223
179729500,5050,223823,LaFlorida,Casaenpasajecerrado,3,2.0,92.0,179.0,2.0,9141583
138801000,3900,172853,EstaciónCentral,MigueldeCervantes,3,1.0,77.0,171.0,1.0,9023136
960930000,27000,1196675,LaFlorida,Lientur,4,4.0,182.0,1600.0,5.0,3002413
925340000,26000,1152354,Santiago,AvenidaRicardoLyon/DiegodeAlmagro,5,3.0,254.0,490.0,4.0,11083332
115000000,3231,143213,PedroAguirreCerda,Alhué3004,4,2.0,90.0,100.0,1.0,10090797
102641560,2884,127823,PuenteAlto,Abtao,3,1.0,61.0,108.0,2.0,11066473
65500000,1840,81569,Paine,ParqueNacionalAltosdeLircay,2,1.0,54.0,97.0,1.0,11029691
115000000,3231,143213,Paine,LasAcacias112,3,1.0,60.0,1164.0,,9464865
462670000,13000,576177,Peñalolén,AlvaroCasanova355,4,3.0,140.0,260.0,2.0,11011207
72000000,2023,89664,PadreHurtado,VillaParquedelSol,3,2.0,65.0,90.0,1.0,9643153
140000000,3934,174346,PuenteAlto,CalleCardenalFresno,3,3.0,92.0,172.0,4.0,7675587
160000000,4496,199253,Recoleta,Av.Valdivieso640,6,3.0,,250.0,,10971135
252333100,7090,314238,SanBernardo,VolcánPomerape.,3,2.0,83.0,750.0,6.0,10957028
409285000,11500,509695,LaReina,PríncipedeGales,5,4.0,150.0,250.0,2.0,10953746
115952220,3258,144399,SanBernardo,PasajeRemi,3,2.0,63.0,107.0,2.0,10730488
242012000,6800,301385,Peñalolén,AlbertoOrregoLuco,3,2.0,98.0,227.0,2.0,10916394
210000000,5901,261519,LaFlorida,Sinaí,4,2.0,153.0,173.0,2.0,6558925
206422000,5800,257064,Buin,AltoSacramento,4,3.0,130.0,216.0,2.0,8631344
97000000,2725,120797,Maipú,NemesioAntunez,3,3.0,79.0,106.0,2.0,7726360
295397000,8300,367867,LaCisterna,Pintados180,5,2.0,150.0,330.0,3.0,10878080
75000000,2107,93400,Melipilla,entretacnaconyungaymelipilla,3,1.0,43.0,198.0,2.0,8876766
320310000,9000,398892,LaFlorida,¡Miraesto!¡Esespectacular!RojasMagallanes,4,4.0,177.0,259.0,3.0,4870914
125000000,3512,155666,Macul,Montevideo,3,1.0,81.0,160.0,3.0,8174557
105000000,2950,130760,LaReina,Cordillera,4,1.0,70.0,135.0,1.0,6128942
480465000,13500,598337,Colina,PortalLosMaitenes,3,3.0,167.0,400.0,3.0,9531622
252689000,7100,314681,LaFlorida,EnriqueOlivaresconAlicahue,4,2.0,100.0,240.0,2.0,10697355
323869000,9100,403324,Colina,CaminodelMimo,5,4.0,139.0,330.0,2.0,10686291
373695000,10500,465374,SanBernardo,Eyzaguirre1210,10,4.0,200.0,662.0,8.0,10680700
227000000,6378,282690,Quilicura,ValleLoCampino,5,3.0,178.0,216.0,1.0,9742504
151257500,4250,188366,Independencia,Gral.Saavedra1324,7,2.0,197.0,225.0,,9555440
266925000,7500,332410,LaFlorida,CascadadelaPalomaSur,3,3.0,121.0,290.0,2.0,10656285
143000000,4018,178082,Recoleta,DoctorSoterodelRío&Huasco,4,2.0,160.0,300.0,2.0,7755357
75000000,2107,93400,PuenteAlto,PedroNúñezFernández,2,1.0,56.0,80.0,2.0,9634508
69500000,1953,86550,Buin,SanFélix129,2,1.0,54.0,82.0,1.0,9552084
140000000,3934,174346,PuenteAlto,SanExpedito,3,2.0,90.0,110.0,1.0,10199601
907545000,25500,1130193,LoBarnechea,LasPataguas,5,6.0,320.0,1040.0,6.0,10572453
75000000,2107,93400,PadreHurtado,Villacentenario,2,1.0,60.0,90.0,1.0,10371383
120000000,3372,149440,Peñaflor,DonVicente,3,3.0,130.0,150.0,2.0,10371607
64500000,1812,80324,PuenteAlto,SargentoMenadier,5,2.0,130.0,115.0,2.0,10563302
409534130,11507,510005,Maipú,ManuelRodríguez,5,2.0,,700.0,8.0,5964993
79000000,2220,98381,EstaciónCentral,Anay,3,2.0,80.0,160.0,1.0,8723620
205000000,5760,255293,Santiago,Cuevas/Maule,7,3.0,161.0,185.0,,8677192
240000000,6743,298879,Santiago,Carmen/Barretos,5,3.0,190.0,250.0,1.0,8677225
88000000,2473,109589,Pudahuel,LosTricahues,3,2.0,65.0,90.0,2.0,6431360
74000000,2079,92154,Maipú,BanderaChilena,4,2.0,50.0,69.0,1.0,9674826
130000000,3653,161893,ElBosque,FedericoGana,5,3.0,,97.0,3.0,10350195
448434000,12600,558448,LaReina,SectorBlestGanaL3CastilloVelasco,3,2.0,228.0,451.0,3.0,9153550
240232500,6750,299169,Buin,AltoSacramento,4,3.0,119.0,220.0,2.0,9140364
227776000,6400,283656,LasCondes,MartíndeZamora/lareconquista,2,1.0,60.0,80.0,,10327869
130000000,3653,161893,Lampa,LosHalcones,3,1.0,85.0,180.0,3.0,10284765
185000000,5198,230386,SanRamón,EstadioMunicipalSanRamón,3,2.0,,214.0,1.0,10257751
273000000,7671,339975,Peñalolén,LosJardineros,4,2.0,250.0,500.0,4.0,7742050
180000000,5058,224159,LoPrado,LosPlátanosxxx6,8,8.0,139.0,282.0,3.0,7844718
286499500,8050,356786,Peñalolén,ElOlivillo5956,5,3.0,131.0,241.0,1.0,5311878
120000000,3372,149440,Maipú,CerroBlanco,2,2.0,75.0,149.0,1.0,10084070
120000000,3372,149440,Maipú,CerroBarón,4,2.0,82.0,104.0,1.0,10081031
120000000,3372,149440,PuenteAlto,AvenidaLasNievesOriente,3,3.0,84.0,120.0,1.0,10080601
854160000,24000,1063711,LasCondes,RicardoCox,7,5.0,,800.0,4.0,10074591
743831000,20900,926315,LoBarnechea,CaminodelYunque,4,3.0,225.0,700.0,2.0,7086037
151257500,4250,188366,SanBernardo,PasajeTurinPoniente,4,2.0,85.0,155.0,2.0,8657276
117589360,3304,146438,PuenteAlto,PasajeIslaNavarino,3,2.0,102.0,86.0,1.0,9728294
355900000,10000,443213,LaFlorida,LasChilcasNorte,3,2.0,140.0,1000.0,4.0,8574336
622825000,17500,775623,Peñalolén,Elembalse,4,3.0,200.0,2000.0,,8574183
60000000,1686,74720,PuenteAlto,VillaDuraznal,3,1.0,,,1.0,9809866
46000000,1292,57285,LaGranja,SantoTomás,3,1.0,,,,9809816
125000000,3512,155666,PuenteAlto,LaPrimavera,3,2.0,,,2.0,9809787
125000000,3512,155666,PuenteAlto,AvenidaMéxico,3,2.0,,154.0,2.0,7970355
176900000,4970,220299,Ñuñoa,Zañartu2740,4,2.0,100.0,124.0,1.0,9767097
960752050,26995,1196453,LoBarnechea,CaminodeLosCastores,6,6.0,350.0,1000.0,7.0,7923562
178270310,5009,222005,PuenteAlto,Canaldelaluz,3,3.0,99.0,157.0,2.0,6175452
130000000,3653,161893,PuenteAlto,Aguavivanorte,3,1.0,75.0,102.0,1.0,7809524
140000000,3934,174346,PuenteAlto,Cabrero,4,1.0,74.0,162.0,2.0,8107890
122000000,3428,151930,Maipú,Losmoais,3,1.0,91.0,138.0,1.0,9302068
247350500,6950,308033,Buin,CamiloBerriosQuintanilla,3,3.0,112.0,240.0,2.0,7970036
432418500,12150,538504,LaReina,CarlosSilvaVildósola,5,4.0,140.0,220.0,2.0,6133981
203000000,5704,252802,PuenteAlto,Independencia381,4,3.0,113.0,178.0,2.0,8189896
274043000,7700,341274,PuenteAlto,Lamontura,4,3.0,122.0,374.0,2.0,6943932
93000000,2613,115816,PuenteAlto,PasajelaCañadaOriente,2,2.0,49.0,80.0,1.0,8548548
569440000,16000,709141,Vitacura,Géminisii,3,2.0,140.0,310.0,2.0,5893319
208201500,5850,259280,Quilicura,EduardoMaira,3,2.0,145.0,247.0,4.0,8176688
164000000,4608,204234,PuenteAlto,Sanmaximo,3,2.0,89.0,181.0,3.0,8448868
675000000,18966,840598,LaReina,JoséZapiola8774,4,3.0,150.0,210.0,2.0,2272898
480465000,13500,598337,Peñalolén,AlvaroCasanova355,5,4.0,220.0,340.0,2.0,7891532
170000000,4777,211706,Santiago,Ñuble49,2,1.0,85.0,100.0,,6682214
76000000,2135,94645,PuenteAlto,PasajeQuechua02338,3,2.0,90.0,110.0,3.0,6682359
